alpha_deg,Fx,Fy,D,L,CD,CL
4.000000000000000000e+00,-1.529412716627120972e-02,-2.031028270721435547e-05,-1.525828821487671717e-02,1.046603572233980369e-03,-3.051657642975343435e-02,2.093207144467960738e-03
4.500000000000000000e+00,-1.529456675052642822e-02,-2.556890249252319336e-04,-1.526747983522132660e-02,9.450970558021818801e-04,-3.053495967044265319e-02,1.890194111604363760e-03
5.000000000000000000e+00,-1.529287267476320267e-02,-4.912912845611572266e-04,-1.527749753400261222e-02,8.434399038158449467e-04,-3.055499506800522444e-02,1.686879807631689893e-03
5.500000000000000000e+00,-1.528899278491735458e-02,-7.267594337463378906e-04,-1.528826209979855175e-02,7.419714412680904420e-04,-3.057652419959710349e-02,1.483942882536180884e-03
6.000000000000000000e+00,-1.528289355337619781e-02,-9.615868330001831055e-04,-1.529968545736718095e-02,6.411782177010244771e-04,-3.059937091473436191e-02,1.282356435402048954e-03
6.500000000000000000e+00,-1.527454610913991928e-02,-1.195266842842102051e-03,-1.531166717019569364e-02,5.415442133293907508e-04,-3.062333434039138727e-02,1.083088426658781502e-03
7.000000000000000000e+00,-1.526393368840217590e-02,-1.427248120307922363e-03,-1.532409643263006778e-02,4.435959471363452346e-04,-3.064819286526013556e-02,8.871918942726904692e-04
7.500000000000000000e+00,-1.525107398629188538e-02,-1.656875014305114746e-03,-1.533686452074267334e-02,3.479643958254981153e-04,-3.067372904148534668e-02,6.959287916509962306e-04
8.000000000000000000e+00,-1.523597352206707001e-02,-1.883551478385925293e-03,-1.534983777515994303e-02,2.552167963349640661e-04,-3.069967555031988607e-02,5.104335926699281323e-04
8.500000000000000000e+00,-1.521868631243705750e-02,-2.106457948684692383e-03,-1.536287649149349448e-02,1.661447352536236238e-04,-3.072575298298698895e-02,3.322894705072472477e-04
9.000000000000000000e+00,-1.519927196204662323e-02,-2.324849367141723633e-03,-1.537583026949596726e-02,8.146336481787853218e-05,-3.075166053899193452e-02,1.629267296357570644e-04
9.500000000000000000e+00,-1.517782732844352722e-02,-2.537980675697326660e-03,-1.538856019090666452e-02,1.890265306362434033e-06,-3.077712038181332904e-02,3.780530612724868067e-06
1.000000000000000000e+01,-1.515446789562702179e-02,-2.745077013969421387e-03,-1.540091509741926129e-02,-7.182739238505457188e-05,-3.080183019483852258e-02,-1.436547847701091438e-04
1.050000000000000000e+01,-1.512933149933815002e-02,-2.945140004158020020e-03,-1.541269858119184190e-02,-1.387216864245119190e-04,-3.082539716238368380e-02,-2.774433728490238379e-04
1.100000000000000000e+01,-1.510259322822093964e-02,-3.137573599815368652e-03,-1.542379331987502392e-02,-1.982168941890619616e-04,-3.084758663975004783e-02,-3.964337883781239233e-04
1.150000000000000000e+01,-1.507444400340318680e-02,-3.321483731269836426e-03,-1.543401743806169582e-02,-2.494432008212873510e-04,-3.086803487612339164e-02,-4.988864016425747019e-04
1.200000000000000000e+01,-1.504510175436735153e-02,-3.496259450912475586e-03,-1.544324339780717842e-02,-2.918052491771776051e-04,-3.088648679561435684e-02,-5.836104983543552102e-04
1.250000000000000000e+01,-1.501479465514421463e-02,-3.661110997200012207e-03,-1.545129352036152780e-02,-3.245316896699451496e-04,-3.090258704072305559e-02,-6.490633793398902993e-04
1.300000000000000000e+01,-1.498377695679664612e-02,-3.815606236457824707e-03,-1.545806836997367685e-02,-3.471960713276435809e-04,-3.091613673994735370e-02,-6.943921426552871617e-04
1.350000000000000000e+01,-1.495230942964553833e-02,-3.959208726882934570e-03,-1.546343485169452379e-02,-3.592681593072573169e-04,-3.092686970338904759e-02,-7.185363186145146339e-04
1.400000000000000000e+01,-1.492065377533435822e-02,-4.091560840606689453e-03,-1.546728474597168154e-02,-3.603911525236671437e-04,-3.093456949194336308e-02,-7.207823050473342874e-04
1.450000000000000000e+01,-1.488908007740974426e-02,-4.212409257888793945e-03,-1.546953079141410135e-02,-3.503061531831765281e-04,-3.093906158282820271e-02,-7.006123063663530562e-04
1.500000000000000000e+01,-1.485783141106367111e-02,-4.321575164794921875e-03,-1.547006904008633998e-02,-3.288313238191137994e-04,-3.094013808017267997e-02,-6.576626476382275988e-04
